round,global_reward,avg_client_reward,min_client_reward,max_client_reward,client_0_reward,client_1_reward,client_2_reward,loss
1,215.71166703705404,276.8439423531982,41.87373121392432,583.8854044603647,583.8854044603647,204.77269138530554,41.87373121392432,32.41203383668264
2,527.0665198936645,435.6529858533154,401.2930867726079,482.89080191746814,422.77506886987027,401.2930867726079,482.89080191746814,31.806347021675112
3,153.50970214619207,69.59366709189514,35.77593103161091,94.19170336713958,94.19170336713958,35.77593103161091,78.81336687693492,31.529870228894552
4,248.62451639279135,252.3777811466655,16.7238138388965,705.8953912697358,34.51413833136425,16.7238138388965,705.8953912697358,31.35605954297384
5,202.28197364200403,80.21200563131481,7.574159969333588,193.31348114144618,193.31348114144618,7.574159969333588,39.74837578316468,31.279376017570495
6,440.6066078901934,337.2714581685052,167.71692972825616,510.00684277588067,334.09060200137884,167.71692972825616,510.00684277588067,31.24430871060689
7,380.1663822900055,180.19554855078147,81.2596746062674,318.9300012650729,318.9300012650729,81.2596746062674,140.39696978100403,31.34661756916046
8,28.192079793479387,81.43571790942703,54.14441398892644,116.33075507617227,73.83198466318237,54.14441398892644,116.33075507617227,31.346973243141175
9,362.21580375365704,101.69567872542065,-14.996835843263131,315.9333594645986,315.9333594645986,-14.996835843263131,4.150512554926456,31.409647375996908
10,73.08769313930556,86.28452444440806,39.32082666462195,110.33467436907944,110.33467436907944,109.19807229952279,39.32082666462195,31.465695858319602
11,113.96813784762193,55.80911165439494,10.835195039792952,105.1345810626745,51.457558860717356,10.835195039792952,105.1345810626745,31.482042064094543
12,57.65633236641231,83.34815330766632,10.783188600360274,156.15135340445013,156.15135340445013,10.783188600360274,83.10991791818859,31.542072889328
13,233.28615340998667,145.93044542491845,79.72104056662474,187.70737875050375,187.70737875050375,79.72104056662474,170.36291695762685,31.575348035113013
14,205.30468414676145,126.947821472115,39.66133104628532,189.32744892396704,189.32744892396704,39.66133104628532,151.85468444609268,31.583080490430195
15,255.80372953465084,117.82217340576774,35.13254972453148,164.1457889945271,164.1457889945271,35.13254972453148,154.18818149824463,31.461104517873128
16,108.22398821147335,146.9403974114829,45.604987331804544,314.93087176173606,314.93087176173606,45.604987331804544,80.28533314090812,31.502171184539794
17,188.78806165600147,99.78467088427476,30.840871408688002,220.54593908523032,47.967202158906,30.840871408688002,220.54593908523032,31.572333405303954
18,249.5097289394467,227.88441344932826,173.29792135457362,281.0472852678971,229.30803372551406,281.0472852678971,173.29792135457362,31.676454300880437
19,184.07281182299488,107.5216732395237,47.32427911929773,157.67416997424135,157.67416997424135,47.32427911929773,117.56657062503197,31.728904009628298
20,176.88240344074498,147.28614813552076,52.92832654961883,194.88582264860568,194.04429520833781,52.92832654961883,194.88582264860568,31.82172479750315
